movie,production_budget,domestic_gross,worldwide_gross,mpaa_rating,genre
Evan Almighty,175000000,100289690,174131329,PG,Comedy
Waterworld,175000000,88246220,264246220,PG-13,Action
King Arthur: Legend of the Sword,175000000,39175066,139950708,PG-13,Adventure
47 Ronin,175000000,38362475,151716815,PG-13,Action
Jurassic World: Fallen Kingdom,170000000,416769345,1304866322,PG-13,Action
Guardians of the Galaxy,170000000,333172112,771051335,PG-13,Action
Iron Man 2,170000000,312433331,621156389,PG-13,Action
Captain America: The Winter Soldier,170000000,259746958,714401889,PG-13,Action
Dawn of the Planet of the Apes,170000000,208545589,710644566,PG-13,Adventure
The Polar Express,170000000,186493587,310634169,G,Adventure
Snow White and the Huntsman,170000000,155136755,401021746,PG-13,Adventure
Terminator 3: Rise of the Machines,170000000,150358296,433058296,R,Action
Van Helsing,170000000,120150546,300150546,PG-13,Action
Tomorrowland,170000000,93436322,207283457,PG,Adventure
Alice Through the Looking Glass,170000000,77042381,276934087,PG,Adventure
Shrek Forever After,165000000,238736787,756244673,PG,Adventure
Doctor Strange,165000000,232641920,676486457,PG-13,Action
Big Hero 6,165000000,222527828,652127828,PG,Adventure
How to Train Your Dragon,165000000,217581232,494870992,PG,Adventure
Wreck-It Ralph,165000000,189412677,496511521,PG,Adventure
Interstellar,165000000,188017894,667752422,PG-13,Adventure
Independence Day: Resurgence,165000000,103144286,384413934,PG-13,Action
Cowboys and Aliens,163000000,100368560,176038324,PG-13,Action
Shrek the Third,160000000,322719944,807330936,PG,Adventure
Fast and Furious 6,160000000,238679850,789300444,PG-13,Action
X-Men: First Class,160000000,146408305,355408305,PG-13,Action
The Curious Case of Benjamin Button,160000000,127509326,329631958,PG-13,Drama
The Sorcerer's Apprentice,160000000,63150991,217986320,PG,Adventure
Poseidon,160000000,60674817,181674817,PG-13,Adventure
Warcraft,160000000,47225655,425547111,PG-13,Action
Aquaman,160000000,0,0,PG-13,Action
Deepwater Horizon,156000000,61433527,122631306,PG-13,Drama
Terminator: Genisys,155000000,89760956,432150894,PG-13,Action
Pacific Rim: Uprising,155000000,59185715,290241338,PG-13,Action
Alexander,155000000,34297191,167297191,R,Action
War for the Planet of the Apes,152000000,146880162,489592267,PG-13,Action
Pearl Harbor,151500000,198539855,449239855,PG-13,Action
Transformers,151000000,319246193,708272592,PG-13,Action
Wonder Woman,150000000,412563408,821133378,PG-13,Action
Zootopia,150000000,341268248,1019706594,PG,Adventure
Harry Potter and the Goblet of Fire,150000000,290013036,896911078,PG-13,Adventure
The Matrix Reloaded,150000000,281553689,738576929,R,Action
I am Legend,150000000,256393010,585532684,PG-13,Horror
Hancock,150000000,227946274,624234272,PG-13,Action
Charlie and the Chocolate Factory,150000000,206459076,475825484,PG,Adventure
Ratatouille,150000000,206445654,626549695,G,Adventure
Thor: The Dark World,150000000,206362140,644602516,PG-13,Action
Batman Begins,150000000,205343774,359142722,PG-13,Action
Mission: Impossible—Rogue Nation,150000000,195042377,689388363,PG-13,Action
Dunkirk,150000000,190068280,499900860,PG-13,Action
Thor,150000000,181030624,449326618,PG-13,Action
Madagascar: Escape 2 Africa,150000000,180174880,599680774,PG,Adventure
X-Men Origins: Wolverine,150000000,179883157,374825760,PG-13,Action
Kung Fu Panda 2,150000000,165249063,664837547,PG,Adventure
Mad Max: Fury Road,150000000,153636354,370651733,R,Action
The Meg,150000000,142700791,527100791,PG-13,Action
The Matrix Revolutions,150000000,139270910,427300260,R,Action
Ready Player One,150000000,137018455,578621729,PG-13,Adventure
Mission: Impossible III,150000000,133501348,397501348,PG-13,Action
Troy,150000000,133298577,484161265,R,Action
The Last Airbender,150000000,131772187,319713881,PG,Adventure
Bee Movie,150000000,126631277,287594577,PG,Adventure
G-Force,150000000,119436770,292817841,PG,Adventure
Bolt,150000000,114053579,328015029,PG,Adventure
Wrath of the Titans,150000000,83670083,305270083,PG-13,Adventure
Beowulf,150000000,82280579,195080579,PG-13,Adventure
The Wolfman,150000000,62189884,142634358,R,Horror
The Great Wall,150000000,45157105,334550106,PG-13,Action
Pan,150000000,35088320,151543635,PG,Adventure
Mars Needs Moms,150000000,21392758,39549758,PG,Adventure
Flushed Away,149000000,64665672,179357126,PG,Adventure
Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,PG,Adventure
How to Train Your Dragon 2,145000000,177002924,614586270,PG,Adventure
Tarzan,145000000,171091819,448191819,G,Adventure
Mr. Peabody & Sherman,145000000,111506430,269806430,PG,Adventure
Rise of the Guardians,145000000,103412758,306900902,PG,Adventure
Die Another Day,142000000,160942139,431942139,PG-13,Action
Star Trek,140000000,257730019,385680446,PG-13,Adventure
Armageddon,140000000,201578182,554600000,PG-13,Adventure
Men in Black 2,140000000,190418803,441767803,PG-13,Action
Captain America: The First Avenger,140000000,176654505,370569776,PG-13,Action
Kung Fu Panda 3,140000000,143528619,518418751,PG,Adventure
Lethal Weapon 4,140000000,130444603,285400000,R,Action
G.I. Joe: Retaliation,140000000,122523060,375740705,PG-13,Action
The Last Samurai,140000000,111110575,456810575,R,Action
Fun With Dick And Jane,140000000,110550000,203018919,PG-13,Comedy
Exodus: Gods and Kings,140000000,65014513,268314513,PG-13,Drama
The BFG,140000000,55483770,199676255,PG,Adventure
Gods of Egypt,140000000,31153464,138587563,PG-13,Adventure
Spider-Man,139000000,403706375,821706375,PG-13,Adventure
Watchmen,138000000,107509799,186976250,R,Action
Stealth,138000000,32116746,76416746,PG-13,Action
The Incredible Hulk,137500000,134806913,265573859,PG-13,Adventure
Hulk,137000000,132177234,245075434,PG-13,Action
Final Fantasy: The Spirits Within,137000000,32131830,85131830,PG-13,Adventure
The Croods,135000000,187168425,573068425,PG,Adventure
The Revenant,135000000,183637894,532950503,R,Adventure
The World is Not Enough,135000000,126930660,361730660,PG-13,Action
Rango,135000000,123477607,245724600,PG,Adventure
Turbo,135000000,83028130,286896578,PG,Adventure
Happy Feet Two,135000000,64006466,157956466,PG,Adventure
Miami Vice,135000000,63478838,163818556,R,Action
War of the Worlds,132000000,234280354,606836535,PG-13,Action
Penguins of Madagascar,132000000,83350911,367650911,PG,Adventure
